key,R,adam,best,alpha_best,rho_best,kappa_best,alpha_det,aGN,L0
"('box2', 0, 0)",0.2786887998323607,1.607286758897039,0.824835983276327,30,0.5,5.0,30,-41.166963969495406,2.1017781747586404
"('box2', 0, 50)",0.25995268617945694,0.42942649540121164,0.30015297460621204,30,0.5,5.0,30,-49.49664095993898,0.36043903994492404
"('box2', 0, 60)",0.2699665212712278,0.5636722585683998,0.29599469624138963,30,0.5,5.0,30,-33.11462602390805,0.31006751747548245
"('box2', 0, 100)",0.16305898757488668,0.28350396425561714,0.12706087541204206,30,0.5,5.0,30,-28.837183095099444,0.15364149833286195
"('box2', 0, 150)",0.23880304262266355,0.06699413305840182,0.0422183323968667,15,0.5,5.0,5,23.518945737647435,0.052466286102675855
"('box2', 0, 200)",0.21008693986912982,0.09530419071587408,0.010025397555574116,-20,0.5,5.0,-20,3.2857689340939955,0.010620081359308083
"('box2', 0, 250)",0.21818381197412617,0.003258246711555018,0.0012150784981584388,-5,0.5,5.0,0,22.501471313403908,0.0016002195314359588
"('box2', 0, 300)",0.12131232902100451,0.0007940738194106674,0.00038353574852912156,5,0.5,5.0,5,36.235836298818285,0.00042290492647076435
"('box2', 0, 350)",0.13828246452525125,0.0005526070621020725,0.0002337204536973306,30,0.5,5.0,30,-106.61661492923965,0.00024412167297329173
"('box2', 0, 400)",0.1935849970905766,0.0002558484027162428,0.00020383984452994035,30,0.5,5.0,30,-109.18481723814143,0.00020919920137565064
"('box2', 0, 450)",0.20830268749329114,0.00021625549716795364,0.0001892535525399532,30,0.5,5.0,30,-99.92225567257607,0.00019422857643229113
"('box2', 0, 500)",0.21236107673099883,0.00020625988612498852,0.00017771898523376964,30,0.5,20.0,30,-98.05101673629382,0.00018249841982267235
"('box2', 0, 550)",0.21361732171418019,0.0002031470887298192,0.00016644601226182984,20,0.5,5.0,30,-97.95508533008798,0.0001713117598418609
"('box2', 0, 600)",0.2143626869467232,0.00020371925094422617,0.00015541623471276676,30,0.5,5.0,30,-98.18732079585656,0.00016022234332977494
"('box2', 0, 650)",0.21504621959203887,0.00020772978659185058,0.00014450131744577383,30,0.5,20.0,30,-98.47649811749501,0.00014922233492415359
"('box2', 0, 700)",0.21573799453957496,0.00021557062711366343,0.00013417932003700902,30,0.5,5.0,30,-98.77725132387417,0.00013837827165279567
"('box2', 0, 750)",0.216437540415876,0.00022787428111635712,0.0001238917505537533,30,0.5,inf,30,-99.08352318911852,0.00012776066415701208
"('box2', 0, 800)",0.21713474184244158,0.0002454071466989476,0.00011362092673892465,30,0.5,20.0,30,-99.39770399001173,0.00011743346005640664
"('box2', 0, 850)",0.2178393328434821,0.00026904508699404395,0.00010364052675923782,30,0.5,10.0,30,-99.7137074572119,0.00010745430176138711
"('box2', 0, 900)",0.21854146874715283,0.00029961837872149484,9.453772885117059e-05,30,0.5,5.0,30,-100.03335140724155,9.787230352262653e-05
"('box2', 0, 950)",0.2192403998355959,0.00033805934842007457,8.562121051804782e-05,30,0.5,5.0,30,-100.3541565358674,8.872886582163633e-05
"('box2', 0, 1000)",0.21993410203790298,0.0003853886124957252,7.759703594699139e-05,30,0.5,20.0,30,-100.6739434742499,8.005751483934544e-05
"('box2', 0, 1050)",0.22060422946988167,0.00044262964928613245,6.939871877325453e-05,30,0.5,5.0,30,-100.99789378102231,7.188434336162974e-05
"('box2', 0, 1100)",0.2212770511990583,0.0005106883073899024,6.18316356907473e-05,30,0.5,5.0,30,-101.31579180607169,6.422761832315783e-05
"('box2', 0, 1150)",0.22192557239722296,0.0005909905021447914,5.4825113619366836e-05,30,0.5,10.0,30,-101.6301471154108,5.709874513409605e-05
"('box2', 0, 1200)",0.22256165337432782,0.0006846115510217041,4.8627456557382375e-05,30,0.5,5.0,30,-101.94286934235164,5.050179077707878e-05
"('box2', 0, 1250)",0.22318084872237584,0.0007927761776028138,4.307725381289352e-05,30,0.5,5.0,30,-102.24741263830543,4.443475038899124e-05
"('box2', 0, 1300)",0.2237718569564339,0.0009157226194449637,3.7761738874003607e-05,30,0.5,10.0,30,-102.55316914172192,3.8889435181668126e-05
"('box2', 0, 1350)",0.2243614621078298,0.001056657265132237,3.25853385599903e-05,30,0.5,5.0,30,-102.8438540228869,3.385257155895501e-05
"('box2', 0, 1400)",0.2249088100984903,0.001214248367689286,2.8327472802395645e-05,30,0.5,5.0,30,-103.1304370731947,2.9306175981613207e-05
"('box2', 0, 1450)",0.22543700349891685,0.001391127401492629,2.4823808329723773e-05,30,0.5,5.0,30,-103.41085843649083,2.5228634946346196e-05
"('box2', 0, 1500)",0.2259344032767922,0.0015877026372024413,2.118684494230069e-05,30,0.5,5.0,30,-103.68785050815903,2.159465865963965e-05
"('box2', 0, 1550)",0.22642206533584677,0.001804386517247731,1.8358343418044743e-05,30,0.5,5.0,30,-103.94572795011645,1.837696159958511e-05
"('box2', 0, 1600)",0.22686017171088707,0.002042179955483285,1.528810548197406e-05,30,0.5,5.0,30,-104.19884198239694,1.5546691790651836e-05
"('box2', 0, 1650)",0.22729269184383222,0.00230209878107085,1.2976215868049343e-05,30,0.5,10.0,30,-104.44004772098934,1.3073361298518969e-05
"('box2', 0, 1700)",0.2276921352180427,0.0025839798433804316,1.0691466084167714e-05,30,0.5,5.0,30,-104.67039540798301,1.0926238091279089e-05
"('box2', 0, 1750)",0.22805979881134597,0.002887555437680925,9.477737122188247e-06,30,0.5,50.0,30,-104.89072732850059,9.074888844507023e-06
"('box2', 0, 1800)",0.2284340231011616,0.0032119687272646378,7.699175208609003e-06,30,0.5,5.0,30,-105.09679673138967,7.489752706196442e-06
"('box2', 0, 1850)",0.2287244500515727,0.0035543405371305085,6.334965946572555e-06,30,0.5,5.0,30,-105.31681502965715,6.1415258218544885e-06
"('box2', 0, 1900)",0.22904269194452698,0.003923229404275958,5.388395921510342e-06,30,0.5,10.0,30,-105.49287056287241,5.003084819140875e-06
"('box2', 0, 1950)",0.22932045045387112,0.004305693618108479,4.340369497068163e-06,30,0.5,5.0,30,-105.67777594470606,4.048311904047114e-06
"('box2', 1, 0)",0.6518549055169004,2.433003619416642,1.0867636730030052,-30,0.5,5.0,-30,13.583208465673174,2.335751037568559
"('box2', 1, 10)",0.6530822004356619,0.982872656394254,0.6654722031285294,30,0.5,5.0,-30,44.84933996128257,0.9335908689426267
"('box2', 1, 20)",0.6126521021777843,0.8156999310492778,0.5081698077253417,30,0.5,5.0,30,62.5191259761114,0.47014898899020385
"('box2', 1, 50)",0.43430606923261916,0.5234319411894166,0.2939043299257197,30,0.5,5.0,30,-147.44793409704164,0.25009897184348384
"('box2', 1, 100)",0.3256566438451135,0.2842304059506893,0.0937560642133958,30,0.5,5.0,30,-29.261320355277885,0.07894761772319976
"('box2', 1, 150)",0.2688380372243431,0.05648556243429585,0.018217318744816684,30,0.5,5.0,-10,-39.88364853422453,0.02100550112842394
"('box2', 1, 200)",0.1858238394922788,0.03259033194161181,0.005478075509358334,30,0.5,5.0,30,5.227112456067304,0.0066577788632845745
"('box2', 1, 250)",0.17706981583676445,0.012328509422476385,0.003860263805483008,-20,0.75,inf,-30,-26.43242163049758,0.0043477627453572115
"('box2', 1, 300)",0.16689098321117646,0.0041291778372847115,0.003515142296892481,-30,1.0,10.0,-20,52.87627949214472,0.003799235633016024
"('box2', 1, 350)",0.16142736008394437,0.003495897774488345,0.0032842592227351392,-30,1.5,5.0,-30,44.57751073168164,0.003536021429218729
"('box2', 1, 400)",0.1555476204347667,0.0034888655506558467,0.003109214643541795,-30,1.5,10.0,-30,23.40865274257266,0.0033252202257527236
"('box2', 1, 450)",0.15323085006845746,0.004018067571506345,0.0029001680967434317,-30,1.25,20.0,-10,-8.762901044189746,0.0031229615078177306
"('box2', 1, 500)",0.15215935189194513,0.005895134498896568,0.002705969265868492,-30,1.25,5.0,-30,129.1530517920074,0.002921024639472407
"('box2', 1, 550)",0.1517982839337979,0.010702815488308603,0.002489876358186828,-20,1.25,20.0,-15,130.09735531602217,0.00271898702796632
"('box2', 1, 600)",0.15213707482843716,0.02047850341564885,0.002351360018798368,-20,1.25,5.0,-30,131.16842368413518,0.0025181975279236586
"('box2', 1, 650)",0.15335319886430268,0.03655839485237379,0.0021396283411548207,-20,1.5,5.0,-30,132.34450217131248,0.0023202954800738717
"('box2', 1, 700)",0.15437572766287921,0.05842133923489549,0.0019607421315570106,-30,1.0,50.0,-30,133.60886098912968,0.0021268500088301298
"('box2', 1, 750)",0.15517340174152197,0.08437907100725606,0.0017934301944481513,-30,1.25,5.0,-30,134.9327110253549,0.00193928775299788
"('box2', 1, 800)",0.15577166238759638,0.11232841131155955,0.0016091730579701528,-30,1.25,5.0,-30,-14.489302855007756,0.0017588492160154935
"('box2', 1, 850)",0.15673618071961143,0.14073871806967775,0.0014328823196069983,-30,1.25,5.0,-30,-15.804218099618963,0.0015865876339100221
"('box2', 1, 900)",0.1584950926855097,0.16884381132228984,0.0012944950858056214,-30,1.0,20.0,-30,-17.059067638753604,0.0014233559132532491
"('box2', 1, 950)",0.1603633236223128,0.1960196693567467,0.001156609830721864,-30,1.0,inf,-30,-18.238773331223925,0.0012698156382167365
"('box2', 1, 1000)",0.16228851683448695,0.22136076305295185,0.001018876370049331,-30,1.0,5.0,-30,-19.333848182700088,0.0011264347101769888
"('box2', 1, 1050)",0.16421136485955365,0.24362378914649216,0.0009006186139754662,-30,1.0,inf,-30,-20.339726669793357,0.0009935065299864116
"('box2', 1, 1100)",0.16609391116503033,0.266991534804571,0.0007919121737823612,-30,1.0,50.0,-30,-21.254902202266656,0.0008711533959732084
"('box2', 1, 1150)",0.16789412974685697,0.2867672356844829,0.0006986292185011909,-30,1.0,inf,-30,-22.084900560728265,0.0007593422182692303
"('box2', 1, 1200)",0.16957259895852683,0.30701655455902627,0.0005939655502530782,-30,1.0,50.0,-30,-22.84071771388625,0.0006579005549400288
"('box2', 1, 1250)",0.1711008076939203,0.32570814399013726,0.0005052293058082993,-30,1.0,5.0,-30,-23.06857254217182,0.0005665313339482776
"('box2', 1, 1300)",0.17246559678566217,0.34208066402912846,0.00044230788931583757,-30,0.75,10.0,-30,-22.323339442459616,0.0004848303118714033
"('box2', 1, 1350)",0.1736538160871605,0.3604078317157055,0.0003669135097797169,-20,1.0,5.0,-30,-21.641885670600733,0.00041230914983339686
"('box2', 1, 1400)",0.17466749249648555,0.37693860347435415,0.000322193701130539,-30,0.75,inf,-30,-21.016442047695236,0.00034840599789617464
"('box2', 1, 1450)",0.17550527088743575,0.39157577954582806,0.0002554118799846778,-10,1.0,5.0,-30,-20.44046205705393,0.00029251137378174575
"('box2', 1, 1500)",0.17618095765940767,0.40812996461423656,0.00021947842202717097,-30,0.75,20.0,-30,-19.905375989918703,0.00024398298465345064
"('box2', 1, 1550)",0.1767106906814436,0.4228463180541717,0.00018472205315633216,-30,0.75,5.0,-30,-19.40874367575457,0.00020216189124151653
"('box2', 1, 1600)",0.17710501406110238,0.43987793474798276,0.0001532798751303147,-30,0.5,10.0,-30,-18.94303842413313,0.00016638933239558366
"('box2', 1, 1650)",0.1773764157797572,0.45191217539458217,0.00012436475254931455,-30,0.5,20.0,-30,-18.505570394968313,0.0001360192630161154
"('box2', 1, 1700)",0.1775501533919797,0.464773963744335,0.00010146247920557287,-30,0.5,5.0,-30,148.28463805219877,0.0001104297133754144
"('box2', 1, 1750)",0.17763546102066524,0.4781131235812248,7.895617681699427e-05,-30,0.75,10.0,-30,148.41345797875945,8.902988098982892e-05
